OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,ProductName,Category,UnitPrice,Sales,OrderValue,Year,Month,MonthName,Quarter,YearMonth,OrderCount,CustomerType
500001,103695,2025-08-28,2003,4,10,Gateway,Completed,36,Qom,2024-03-05,Regular,USB-C Cable,Accessories,9,32,32,2025,8,August,Q3,2025-08,4,Repeat Customer
500002,107935,2024-05-31,2014,1,10,Wallet,Completed,49,Kerman,2025-06-04,Regular,Backpack,Accessories,42,38,38,2024,5,May,Q2,2024-05,9,Repeat Customer
500003,105141,2025-08-10,2002,1,20,CardToCard,Completed,36,Tehran,2025-10-19,Regular,Mechanical Keyboard,Electronics,62,50,50,2025,8,August,Q3,2025-08,3,Repeat Customer
500004,108780,2024-10-11,2012,1,10,Gateway,Completed,45,Shiraz,2023-12-07,Regular,Office Chair,Home Office,180,162,162,2024,10,October,Q4,2024-10,5,Repeat Customer
500005,101187,2024-02-19,2008,2,0,Gateway,Completed,24,Karaj,2023-12-02,Regular,Phone Case,Accessories,14,28,28,2024,2,February,Q1,2024-02,8,Repeat Customer
500006,105545,2024-07-16,2011,4,0,Gateway,Returned,28,Tehran,2024-08-07,New,Desk Lamp,Home Office,32,128,128,2024,7,July,Q3,2024-07,2,Repeat Customer
500007,106418,2025-10-15,2017,1,5,Wallet,Completed,23,Isfahan,2023-03-09,New,HDMI Cable,Accessories,11,10,10,2025,10,October,Q4,2025-10,6,Repeat Customer
500008,108755,2024-12-03,2014,1,0,Gateway,Completed,41,Mashhad,2025-11-20,Regular,Backpack,Accessories,42,42,42,2024,12,December,Q4,2024-12,5,Repeat Customer
500009,105133,2025-04-15,2004,1,10,Gateway,Completed,40,Isfahan,2025-05-04,New,Power Bank,Electronics,35,32,32,2025,4,April,Q2,2025-04,3,Repeat Customer
500010,103111,2024-04-28,2014,2,5,Gateway,Cancelled,43,Mashhad,2024-06-20,New,Backpack,Accessories,42,80,80,2024,4,April,Q2,2024-04,6,Repeat Customer
500011,102192,2024-03-21,2004,3,30,Gateway,Completed,37,Tehran,2023-12-02,New,Power Bank,Electronics,35,74,74,2024,3,March,Q1,2024-03,5,Repeat Customer
500012,102921,2024-07-25,2001,1,5,Wallet,Completed,33,Tabriz,2024-01-19,VIP,Wireless Mouse,Electronics,18,17,17,2024,7,July,Q3,2024-07,7,Repeat Customer
500013,101803,2025-02-12,2005,3,10,CardToCard,Completed,39,Isfahan,2024-10-31,Regular,Laptop Stand,Accessories,28,76,76,2025,2,February,Q1,2025-02,8,Repeat Customer
