OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,ProductName,Category,UnitPrice,Sales,OrderValue
500001,103695,28/08/2025,2003,4,10,Gateway,Completed,36,Qom,05/03/2024,Regular,USB-C Cable,Accessories,9,32,32
500002,107935,31/05/2024,2014,1,10,Wallet,Completed,49,Kerman,04/06/2025,Regular,Backpack,Accessories,42,38,38
500003,105141,10/08/2025,2002,1,20,CardToCard,Completed,36,Tehran,19/10/2025,Regular,Mechanical Keyboard,Electronics,62,50,50
500004,108780,11/10/2024,2012,1,10,Gateway,Completed,45,Shiraz,07/12/2023,Regular,Office Chair,Home Office,180,162,162
500005,101187,19/02/2024,2008,2,0,Gateway,Completed,24,Karaj,02/12/2023,Regular,Phone Case,Accessories,14,28,28
500006,105545,16/07/2024,2011,4,0,Gateway,Returned,28,Tehran,07/08/2024,New,Desk Lamp,Home Office,32,128,128
500007,106418,15/10/2025,2017,1,5,Wallet,Completed,23,Isfahan,09/03/2023,New,HDMI Cable,Accessories,11,10,10
500008,108755,03/12/2024,2014,1,0,Gateway,Completed,41,Mashhad,20/11/2025,Regular,Backpack,Accessories,42,42,42
500009,105133,15/04/2025,2004,1,10,Gateway,Completed,40,Isfahan,04/05/2025,New,Power Bank,Electronics,35,32,32
500010,103111,28/04/2024,2014,2,5,Gateway,Cancelled,43,Mashhad,20/06/2024,New,Backpack,Accessories,42,80,80
500011,102192,21/03/2024,2004,3,30,Gateway,Completed,37,Tehran,02/12/2023,New,Power Bank,Electronics,35,74,74
500012,102921,25/07/2024,2001,1,5,Wallet,Completed,33,Tabriz,19/01/2024,VIP,Wireless Mouse,Electronics,18,17,17
500013,101803,12/02/2025,2005,3,10,CardToCard,Completed,39,Isfahan,31/10/2024,Regular,Laptop Stand,Accessories,28,76,76
500014,108853,01/01/2026,2001,2,5,CardToCard,Completed,44,Tehran,14/08/2025,New,Wireless Mouse,Electronics,18,34,34
500015,102106,21/10/2025,2017,1,0,Wallet,Completed,31,Tehran,10/12/2025,Regular,HDMI Cable,Accessories,11,11,11
500016,104175,18/05/2024,2002,3,0,Gateway,Completed,37,Rasht,20/05/2023,New,Mechanical Keyboard,Electronics,62,186,186
500017,101158,02/03/2024,2001,2,5,Gateway,Completed,58,Tehran,29/09/2024,VIP,Wireless Mouse,Electronics,18,34,34
500018,109942,13/07/2024,2013,2,0,Gateway,Completed,48,Rasht,13/09/2025,New,Notebook,Stationery,7,14,14
500019,104270,06/01/2026,2013,1,0,CardToCard,Completed,42,Ahvaz,20/10/2023,Regular,Notebook,Stationery,7,7,7
500020,109355,21/03/2025,2017,2,20,Cash,Completed,37,Rasht,03/05/2024,New,HDMI Cable,Accessories,11,18,18
500021,105138,28/11/2025,2017,2,0,Gateway,Completed,49,Karaj,27/05/2023,Regular,HDMI Cable,Accessories,11,22,22
500022,105368,15/11/2024,2013,2,0,Gateway,Completed,45,Isfahan,04/09/2025,Regular,Notebook,Stationery,7,14,14
500023,108138,25/05/2025,2006,1,20,Cash,Completed,61,Tehran,30/08/2025,New,Webcam,Electronics,48,38,38
500024,107845,28/05/2025,2013,3,0,Gateway,Completed,26,Tehran,23/04/2024,Regular,Notebook,Stationery,7,21,21
500025,109039,25/06/2025,2013,1,15,Gateway,Completed,65,Ahvaz,01/01/2025,New,Notebook,Stationery,7,6,6
500026,107998,10/02/2025,2010,2,5,CardToCard,Completed,34,Mashhad,18/12/2024,New,Fitness Band,Wearables,55,104,104
500027,108982,25/07/2024,2006,2,10,Cash,Completed,43,Tehran,08/05/2024,Regular,Webcam,Electronics,48,86,86
500028,103563,05/01/2025,2002,1,0,Gateway,Completed,38,Ahvaz,11/04/2023,Regular,Mechanical Keyboard,Electronics,62,62,62
500029,100210,29/05/2026,2002,1,10,Wallet,Completed,55,Tehran,13/04/2024,Regular,Mechanical Keyboard,Electronics,62,56,56
500030,104615,23/08/2024,2019,2,5,CardToCard,Completed,44,Tehran,06/04/2024,VIP,Tablet,Electronics,260,494,494
500031,101683,18/09/2025,2011,2,0,Gateway,Completed,19,Shiraz,27/04/2025,Regular,Desk Lamp,Home Office,32,64,64
500032,109032,21/04/2026,2008,2,0,Wallet,Completed,32,Karaj,02/10/2023,Regular,Phone Case,Accessories,14,28,28
500033,107365,04/05/2025,2007,3,5,Gateway,Completed,65,Kerman,15/12/2025,Regular,Headphones,Electronics,75,214,214
500034,105082,26/02/2025,2004,2,5,Gateway,Completed,42,Tehran,02/11/2025,New,Power Bank,Electronics,35,66,66
500035,106013,14/04/2024,2008,5,10,Wallet,Completed,49,Tabriz,05/07/2024,Regular,Phone Case,Accessories,14,63,63
500037,107822,10/03/2026,2013,1,0,Gateway,Completed,42,Tehran,30/03/2023,VIP,Notebook,Stationery,7,7,7
500038,101279,06/06/2026,2001,4,15,Gateway,Completed,18,Karaj,04/06/2023,Regular,Wireless Mouse,Electronics,18,61,61
500039,107601,23/06/2024,2013,5,5,Gateway,Returned,24,Karaj,29/01/2023,New,Notebook,Stationery,7,33,33
500040,104265,21/03/2026,2011,4,10,Gateway,Cancelled,46,Tehran,30/07/2025,VIP,Desk Lamp,Home Office,32,115,115
500041,104458,16/11/2024,2010,2,30,Gateway,Completed,19,Tehran,27/10/2025,Regular,Fitness Band,Wearables,55,77,77
